Date,Day,Breakfast,Lunch,Dinner
2025-03-10,Monday,20.36,58.96,28.92
2025-03-11,Tuesday,28.92,54.58,34.17
2025-03-12,Wednesday,25.96,55.43,27.01
2025-03-13,Thursday,27.87,55.15,26.92
2025-03-14,Friday,28.13,59.59,31.36
2025-03-15,Saturday,22.99,56.29,28.83
2025-03-16,Sunday,24.86,52.58,30.04
2025-03-17,Monday,23.63,102.4,33.76
2025-03-18,Tuesday,26.79,53.12,26.38
2025-03-19,Wednesday,19.85,57.59,31.37
2025-03-20,Thursday,25.91,52.05,30.25
2025-03-21,Friday,23.31,50.47,34.65
2025-03-22,Saturday,27.74,56.39,30.57
2025-03-23,Sunday,22.1,51.93,25.35
2025-03-24,Monday,27.31,57.33,29.04
2025-03-25,Tuesday,20.15,54.14,34.41
2025-03-26,Wednesday,22.13,54.03,28.53
2025-03-27,Thursday,22.69,51.77,34.01
2025-03-28,Friday,27.89,59.15,29.12
2025-03-29,Saturday,20.59,53.7,30.59
2025-03-30,Sunday,23.99,58.09,26.4
2025-03-31,Monday,24.94,51.34,26.83
2025-04-01,Tuesday,23.45,55.45,28.95
2025-04-02,Wednesday,20.69,59.58,29.82
2025-04-03,Thursday,23.6,52.33,31.43
2025-04-04,Friday,28.15,57.35,25.35
2025-04-05,Saturday,23.38,57.31,28.18
2025-04-06,Sunday,20.85,54.12,32.89
2025-04-07,Monday,26.3,52.9,28.12
2025-04-08,Tuesday,22.17,52.97,30.78
2025-04-09,Wednesday,19.26,52.83,34.03
2025-04-10,Thursday,28.12,53.06,31.19
2025-04-11,Friday,22.41,59.55,30.85
2025-04-12,Saturday,23.91,63.65,31.63
2025-04-13,Sunday,21.99,50.49,28.68
2025-04-14,Monday,30.64,57.91,30.71
2025-04-15,Tuesday,21.77,59.33,30.78
2025-04-16,Wednesday,30.92,49.1,31.47
2025-04-17,Thursday,23.14,49.88,30.94
2025-04-18,Friday,29.36,55.14,28.22
2025-04-19,Saturday,25.84,52.69,31.31
2025-04-20,Sunday,28.77,55.55,28.62
2025-04-21,Monday,24.98,57.35,30.52
2025-04-22,Tuesday,23.59,48.68,30.16
2025-04-23,Wednesday,25.68,62.39,29.01
2025-04-24,Thursday,24.86,49.73,33.53
2025-04-25,Friday,24.29,61.6,26.62
2025-04-26,Saturday,23.37,67.8,24.26
2025-04-27,Sunday,24.81,41.75,28.65
2025-04-28,Monday,23.3,47.32,30.49
2025-04-29,Tuesday,20.75,38.76,25.23
2025-04-30,Wednesday,20.5,55.85,33.47
2025-05-01,Thursday,26.75,67.31,31.99
2025-05-02,Friday,25.48,55.23,27.46
2025-05-03,Saturday,22.58,68.68,30.19
2025-05-04,Sunday,27.69,77.13,25.08
2025-05-05,Monday,18.06,70.79,29.28
2025-05-06,Tuesday,24.82,50.51,34.39
2025-05-07,Wednesday,26.06,66.47,30.49
2025-05-08,Thursday,24.09,51.45,28.99
2025-05-09,Friday,26.78,53.42,27.6
2025-05-10,Saturday,18.76,47.98,30.67
